,Country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,"Afghanistan, Islamic Republic of",223736.574791078,235730.977198474,267176.889153307,277497.599208482,334620.77516831097,362857.49283107,386367.65485105506,440336.0189929459,465358.222888133,477909.038709192,482628.8115827621,493073.36076657503,506215.11418489093,519882.92226788297,...
1,Algeria,5285319.18576077,5374349.770032691,5555619.878149849,5686739.999601009,5779561.46283049,5988556.441044481,6157618.34768462,6366418.969348519,6544678.70049028,6793376.49110891,7044731.42127993,7270162.82676089,7364674.943508781,7467780.39271791,...
2,Angola,874608.488051748,975605.505343302,1112289.07505887,1236487.4610201002,1247103.53496995,1307703.03417356,1353106.23999969,1468690.56861005,1541458.1716418602,1615796.92729173,1631043.19305424,1588960.6925988,1586577.2515599,1567538.32454118,...
3,Anguilla,637.77,765.39,869.88,858.21,699.7,667.8,691.26,651.39,647.1,679.89,701.29,683.89,638.46,708.07,...
4,Antigua and Barbuda,2771.0000019191098,3123.9146912087003,3413.30237180966,3412.38772608121,2999.13240690344,2783.31819380494,2725.23482462509,2820.4765488990897,2817.8533924131098,2898.36,3009.2,3174.66,3274.51,3516.47,...
5,Argentina,528055.942525,570549.4042,621942.50265,647176.15975,608872.8764,670523.67945,710781.597225,703485.98945,720407.1053,702306.04595,721487.146625,706477.8486,725330.848525,707329.642325,...
6,"Armenia, Republic of",2172495.6,2538896.4,3021394.7,3368084.7,3063323.8,3211242,3621128.5,4048644.9,4405450.9,4721560.7,4984858.2,5053172.3,...,...,...
7,Aruba,3505.7843914580003,3542.63250621641,3614.70100773631,3620.23062899322,3209.91762079635,3102.73256535775,3211.48211368793,3167.53730481423,3299.4599119116997,3329.2830842350304,3314.37843740186,3310.2704948759197,3351.2737555507397,...,...
8,"Azerbaijan, Republic of",12522.7,16838.8,21126.5,23364.1,25553.2,26776.9,26355.7,26936.3,28510.3,29307.9,29615.5,28708.2,28752.3,29031.4,...
9,"Bahamas, The",10457.5238631582,10720.724052434,10875.7962850397,10623.053579250602,10179.5055409107,10336.152452497,10399.5029991794,10720.5,10404.0381840296,10480.6652501763,10543.2957984868,10590.3455997213,10597.4135241267,10763.3394615629,...
10,"Bahrain, Kingdom of",7377.29610401419,7854.39,8505.83,9036.75,9266.33,9668.19,9859.96,10227.56,10781.53,11250.65,11572.75,11973.37,12422.77,...,...
11,Bangladesh,4673431269.8904,4993600000,5319100000,5612465000,5910765000,6267195000,6674175000,7091945000,7520160000,7994990000,8542005000,9157190000,9851685000,10633355200,...
12,Barbados,8981.957820090629,9491.10826337958,9700.09412904969,9767.76823988991,9271.974358569929,9059.85703849362,8998.900765690809,8958.43747861562,8831.99803147236,8820.833954205369,9036.63397952314,9261.22449340773,9305.44885596595,9251.19714587381,...
13,Belarus,51360.2005703482,56495.1865892478,61380.4705533636,67670.9468278289,67781.5944336905,73028.43340405369,77076.91487257961,78411.4178119471,79214.33881548891,80579.27,77493.43,75535.6,77448.3,79887.3,...
14,Belize,2156.1,2254.8,2279.7,2353.4,2372.1,2450.7,2502.3,2596.1,2613.95759177898,2719.7000901834203,2822.91250215947,2809.1582616465003,2830.36510144034,...,...
15,Benin,4453159.61634325,4628781.3707585195,4905875.51197862,5146095.9681755705,5265449.318734099,5376763.56296816,5536117.85386637,5802472.80657875,6219753.6269363,6615185.52922775,6732814,6957668,7352276.45104384,7844677.05186024,...
